title,company,salary,city,category,subcategory,minimumsalary,maximumsalary
SÜRÜCÜ  ,Elem İnshaat,500 - 600 AZN,Bakı,Xidmət ,Sürücü,500,600
BƏLƏDÇİ,"""Smile Tour"" MMC",700 - 900 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,700,900
BARİSTA,Capl coffehouse,800 - 1200 AZN,Bakı,Xidmət ,Restoran işi,800,1200
FƏHLƏ ,Glassman,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
RESEPŞN,Alison MMC,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
OFİSİANT,Grand Midway Otel,500 - 600 AZN,Bakı,Xidmət ,Restoran işi,500,600
AŞPAZ KÖMƏKÇİSİ,CoffeeLea,600 - 700 AZN,Bakı,Xidmət ,Restoran işi,600,700
SÜRÜCÜ,AEM ELEKTRON,600 - 700 AZN,Bakı,Xidmət ,Sürücü,600,700
FƏHLƏ,Embawood,500 - 800 AZN,Bakı,Xidmət ,Fəhlə,500,800
OFİSİANT,CoffeeLea,400 - 500 AZN,Bakı,Xidmət ,Restoran işi,400,500
AŞPAZ,Burger.az,800 - 900 AZN,Bakı,Xidmət ,Restoran işi,800,900
ANBAR İŞÇİSİ,Zeytun Phamaceuticals MMC,500 - 700 AZN,Bakı,Xidmət ,Anbardar,500,700
SÜRÜCÜ-EKSPEDİTOR,Zeytun Phamaceuticals MMC,600 - 700 AZN,Bakı,Xidmət ,Sürücü,600,700
PİZZA USTASI,Vapiano Baku,400 - 500 AZN,Bakı,Xidmət ,Restoran işi,400,500
PİYADA KURYER,Alex Express MMC,300 - 400 AZN,Bakı,Xidmət ,Kuryer,300,400
AVİABİLETLƏRİN SATIŞI ÜZRƏ MENECER,Twins Travel,1000 - 1300 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,1000,1300
RESEPŞN (GECƏ NÖVBƏSİ),Hillside otel (Brassgroup),400 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,
RESEPŞN,Boutique Hotel Baku,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
ELEKTRİK-MONTAJÇI KÖMƏKÇİSİ,Minox MMC,500 - 600 AZN,Bakı,Xidmət ,Digər,500,600
TAKSİ-SÜRÜCÜSÜ,Soundride,800 - 900 AZN,Bakı,Xidmət ,Sürücü,800,900
OFİSİANT,Pizza Mizza,400 - 500 AZN,Sumqayıt,Xidmət ,Restoran işi,400,500
SÜRÜCÜ,Lime&Co MMC,600 AZN,Bakı,Xidmət ,Sürücü,600,
KURYER,ARS Express,300 - 500 AZN,Bakı,Xidmət ,Kuryer,300,500
SÜRÜCÜ,PURE LİFE (LOĞMAN SU),600 - 900 AZN,Bakı,Xidmət ,Sürücü,600,900
AVİAKASSİR,ATLAS TRAVEL AGENCY,1000 - 1500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,1000,1500
XADİMƏ,ALUMIN,500 AZN,Bakı,Xidmət ,Xadimə,500,
SÜRÜCÜ,Marka.az Advertising agency,600 AZN,Bakı,Xidmət ,Sürücü,600,
RESEPŞN,Grand Hayat Management,500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,
ANBAR FƏHLƏSİ,Antaris QSC,600 AZN,Bakı,Xidmət ,Fəhlə,600,
FƏHLƏ,Gədəbəy Mineral Suları MMC,600 AZN,Bakı,Xidmət ,Fəhlə,600,
ADMİNİSTRATOR,"""Chailab Group"" MMC",1500 AZN,Bakı,Xidmət ,Restoran işi,1500,
TƏMİZLİKÇİ,Riviera Hotel,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
ZƏİF AXIN İŞLƏRİ ÜZRƏ USTA ,Fire Group MMC,500 - 800 AZN,Bakı,Xidmət ,Digər,500,800
SÜRÜCÜ-EKSPEDİTOR,İNCİ SU,800 - 1100 AZN,Bakı,Xidmət ,Sürücü,800,1100
SERVİS İŞÇİSİ,"""Konfirom"" MMC",400 AZN,Bakı,Xidmət ,Digər,400,
AŞPAZ,Atlas Hotel Baku,1100 AZN,Bakı,Xidmət ,Restoran işi,1100,
XADİMƏ,Kazaçiy kvas,300 - 400 AZN,Xırdalan,Xidmət ,Xadimə,300,400
СПЕЦИАЛИСТ ПО ПРОДАЖАМ ТУРОВ В АЗЕРБАЙДЖАНЕ,Victory Tour,900 - 1400 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,900,1400
СПЕЦИАЛИСТ МАЙС ОТДЕЛА  ОРГАНИЗАТОР МЕРОПРИЯТИЙ  ,Victory Tour,800 - 1300 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,800,1300
ELEKTRİK,AzəriMed QSC,700 AZN,Bakı,Xidmət ,Digər,700,
FƏHLƏ,Aquatech MMC,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
XADİMƏ,Superfon,300 - 400 AZN,Bakı,Xidmət ,Xadimə,300,400
ANBARDAR KÖMƏKÇİSİ,Fortune Trade,500 - 600 AZN,Bakı,Xidmət ,Anbardar,500,600
EHTİYYAT HİSSƏLƏRİ ÜZRƏ ANBARDAR,M-Trans MMC,500 AZN,Xırdalan,Xidmət ,Anbardar,500,
QAYNAQÇI,Vitrum MMC,500 - 700 AZN,Bakı,Xidmət ,Digər,500,700
FƏHLƏ,FOSTANPAK MMC,500 AZN,Bakı,Xidmət ,Fəhlə,500,
İSTEHSALAT OPERATORU,Ayan MMC,500 AZN,Xırdalan,Xidmət ,Digər,500,
ARMATURÇU,"""ENAR TAXİ""MMC",700 AZN,Bakı,Xidmət ,Digər,700,
SÜRÜCÜ,"""VTEK"" MMC",800 - 1000 AZN,Bakı,Xidmət ,Sürücü,800,1000
ANBARDAR,Pink Accessories MMC,500 - 600 AZN,Bakı,Xidmət ,Anbardar,500,600
EKSPEDİTOR,Royal Foods MMC,1000 AZN,Bakı,Xidmət ,Sürücü,1000,
TUR MENECERİ,Joyful Travel,500 - 1000 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,1000
SÜRÜCÜ,Muxtaroglu-VM MMC,600 - 700 AZN,Bakı,Xidmət ,Sürücü,600,700
SÜRÜCÜ KÖMƏKÇİSİ,Ayan MMC,400 AZN,Xırdalan,Xidmət ,Digər,400,
RESEPŞN,Madison Hotel Baku,500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,
PİYADA KURYER,AzariExpress,400 - 700 AZN,Bakı,Xidmət ,Kuryer,400,700
RESEPŞN,Grand Hotel Europe Baku,500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,
ANBAR İŞÇİSİ,Zeytun Phamaceuticals MMC,500 - 700 AZN,Bakı,Xidmət ,Anbardar,500,700
SÜRÜCÜ,Gidromaşservis QSC,400 - 500 AZN,Bakı,Xidmət ,Sürücü,400,500
BELLBOY,Grand Hotel Europe Baku,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
 TƏHLÜKƏSİZLİK ƏMƏKDAŞI,AZHR AND CONSULTİNG CENTER,1200 AZN,Bakı,Xidmət ,Mühafizə xidməti,1200,
TUR MENECERİ,Level Up Travel,500 - 800 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,800
MEXANİK USTA,Wellmechs,700 - 1100 AZN,Bakı,Xidmət ,Digər,700,1100
STİLİST-VİZAJİST,Sevgi Beauty,—,,,,,
ANBARDAR,Admedia,700 - 1000 AZN,Bakı,Xidmət ,Anbardar,700,1000
FƏHLƏ,Omid MMC,400 - 500 AZN,Bakı,Xidmət ,Fəhlə,400,500
ÇÖRƏKÇİ ,Grabstar,600 - 700 AZN,Bakı,Xidmət ,Digər,600,700
XADİMƏ,Mirzəoğlu MMC,400 AZN,Bakı,Xidmət ,Xadimə,400,
OFİSİANT,Riviera Restoran,600 AZN,Bakı,Xidmət ,Restoran işi,600,
RESEPŞN,Badam D'Art Boutique Hotel,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
HOSTESS,YENİ BAKI oteli,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
TUR MENECERİ,Royal Travel Group,600 - 700 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,600,700
ANBAR TƏCHİZATÇISI,Bin Bir Tadım Dönər,600 AZN,Bakı,Xidmət ,Anbardar,600,
İNZİBATÇI,Capitol Hotel,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
TƏMİZLİKÇİ,Özəl şirkət,—,,,,,
TEXNİK-ELEKTRİK,“BK Azərbaycan”MMC- Burger King restoranlar şəbəkəsi,—,Bakı,Xidmət ,Digər,,
TƏMİZLİK ÜZRƏ XİDMƏTÇİ,“BK Azərbaycan”MMC- Burger King restoranlar şəbəkəsi,500 AZN,Bakı,Xidmət ,Xadimə,500,
АССИСТЕНТ КОСМЕТОЛОГА,Asthetiklab,600 - 700 AZN,,,,600,700
ANBAR FƏHLƏSİ,Engin LTD,600 - 700 AZN,Bakı,Xidmət ,Fəhlə,600,700
FƏHLƏ,AzəriMed QSC,500 AZN,Bakı,Xidmət ,Fəhlə,500,
OFİSİANT KÖMƏKÇİSİ ,"""ANADOLU"" Restoranlar şəbəkəsi & Catering",500 AZN,Bakı,Xidmət ,Restoran işi,500,
SÜRÜCÜ,Eksaplast,600 - 800 AZN,Xırdalan,Xidmət ,Sürücü,600,800
USTA - DƏMİRÇİ,"""Performance Center Co"" MMC (Chevrolet Azərbaycan)",800 - 1300 AZN,Bakı,Xidmət ,Digər,800,1300
FƏHLƏ,Ayan MMC,400 - 500 AZN,Xırdalan,Xidmət ,Fəhlə,400,500
GÖZƏTÇİ,AMOTRADE MMC,400 - 500 AZN,Bakı,Xidmət ,Mühafizə xidməti,400,500
TEXNİKİ XİDMƏTÇİ (QABYUYAN),Sheraton Baku İntourist Oteli,600 - 700 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,600,700
KƏSİM ÜZRƏ MEBEL USTASI,AzəriMed QSC,1000 AZN,Bakı,Xidmət ,Digər,1000,
ANBARDAR,166 Cargo,500 AZN,Bakı,Xidmət ,Anbardar,500,
SÜRÜCÜ-TƏSLİMATÇI,"""Mineral Sular"" MMC",800 - 1200 AZN,Xırdalan,Xidmət ,Sürücü,800,1200
ANBARDAR,Marrini Group,800 - 1200 AZN,Bakı,Xidmət ,Anbardar,800,1200
FƏHLƏ,"""Neptun-S"" MMC",400 - 500 AZN,Bakı,Xidmət ,Fəhlə,400,500
XADİMƏ,Displey and Stend,400 - 500 AZN,Bakı,Xidmət ,Xadimə,400,500
ANBAR FƏHLƏSİ,Bin Bir Tadım Dönər,500 - 700 AZN,Bakı,Xidmət ,Fəhlə,500,700
XADİMƏ,Caspian Telecom MMC,500 AZN,Bakı,Xidmət ,Xadimə,500,
TIR SÜRÜCÜSÜ,Abşeron Logistika MMC,800 - 900 AZN,Qaradağ,Xidmət ,Sürücü,800,900
XADİMƏ,Soliton Mağazalar Şəbəkəsi,400 AZN,Bakı,Xidmət ,Xadimə,400,
OFİSİANT,Papa John's Azerbaijan,300 - 400 AZN,Bakı,Xidmət ,Restoran işi,300,400
OFİSİANT,Pizza Mizza,400 - 500 AZN,Sumqayıt,Xidmət ,Restoran işi,400,500
СКЛАДЧИК,ZooMagazin.az,500 AZN,Bakı,Xidmət ,Anbardar,500,
